,actual,predicted
2018-01-01,40191.041666666664,29205.375802714825
2018-01-02,41627.333333333336,33049.46714308009
2018-01-03,40852.75,33263.54168907415
2018-01-04,41065.0,33340.254195995956
2018-01-05,44066.333333333336,33050.100703293014
2018-01-06,43565.75,30747.775584868872
2018-01-07,42159.708333333336,30073.896453072575
2018-01-08,40300.666666666664,33255.52426664199
2018-01-09,35337.375,33656.846536402576
2018-01-10,35223.875,33636.15634646654
2018-01-11,31735.208333333332,33523.71425474743
2018-01-12,29211.041666666668,33110.19335051344
2018-01-13,30532.666666666668,30762.957357130977
2018-01-14,36703.25,30125.31216780138
2018-01-15,39257.75,33131.49601138369
2018-01-16,36168.333333333336,33991.44488707622
2018-01-17,37451.208333333336,34181.88861576519
2018-01-18,38379.75,34292.697753796885
2018-01-19,35442.75,34085.78871370806
2018-01-20,30604.416666666668,31901.0355697508
2018-01-21,29108.125,31357.276270104798
2018-01-22,29872.041666666668,34657.519458142626
2018-01-23,29773.833333333332,35144.890790470774
2018-01-24,32071.458333333332,35155.71599438674
2018-01-25,34302.666666666664,35003.757872806
2018-01-26,34354.958333333336,34470.015228801865
2018-01-27,29843.791666666668,31920.545440527534
2018-01-28,27356.541666666668,31003.70138364842
2018-01-29,31443.833333333332,33953.546040355555
2018-01-30,34895.541666666664,34143.994620933634
2018-01-31,37180.125,33935.67179864711
2018-02-01,33615.458333333336,33659.65946118626
2018-02-02,35327.125,33105.27865901954
2018-02-03,35505.5,30637.253949707374
2018-02-04,32805.666666666664,29891.925665502524
2018-02-05,34204.791666666664,33083.06632679478
2018-02-06,35783.833333333336,33559.42699331221
2018-02-07,35824.75,33651.04954931422
2018-02-08,35158.125,33658.08658552028
2018-02-09,35460.125,33341.42883465502
2018-02-10,30496.708333333332,31042.869161672064
2018-02-11,27919.916666666668,30382.36507232854
2018-02-12,30144.791666666668,33566.53772555578
2018-02-13,33038.458333333336,33948.08756983932
2018-02-14,31439.916666666668,33868.38084422863
2018-02-15,29138.375,33646.85779895724
2018-02-16,28378.958333333332,33069.19802655817
2018-02-17,30211.708333333332,30504.916755513408
2018-02-18,28892.041666666668,29600.43914440714
2018-02-19,31447.75,33107.32449581937
2018-02-20,28487.791666666668,32833.51662305937
2018-02-21,27572.5,32694.837967424974
2018-02-22,28859.208333333332,32491.359812787563
2018-02-23,30894.333333333332,32002.221549770886
2018-02-24,27537.0,29582.841132593323
2018-02-25,27246.041666666668,28858.464345530425
2018-02-26,29406.833333333332,32034.5447066827
2018-02-27,29694.041666666668,32459.08437977981
2018-02-28,28915.166666666668,32459.683241986266
2018-03-01,28720.208333333332,32338.53237455939
2018-03-02,30858.083333333332,31862.062543992415
2018-03-03,28436.791666666668,29381.1073748168
2018-03-04,27950.583333333332,28523.762874519478
2018-03-05,31451.458333333332,31506.600859805385
2018-03-06,31596.291666666668,31697.11602795243
2018-03-07,32257.333333333332,31445.558576915962
2018-03-08,31934.208333333332,31079.455355704282
2018-03-09,32586.833333333332,30390.27679466159
2018-03-10,30027.458333333332,27751.106942931838
2018-03-11,28279.458333333332,26805.971913701007
2018-03-12,32489.166666666668,29780.542223807548
2018-03-13,32829.916666666664,30044.968049978073
2018-03-14,33399.083333333336,29942.357660898342
2018-03-15,32337.208333333332,29786.0529437527
2018-03-16,31942.166666666668,29347.545992291896
2018-03-17,30140.833333333332,26976.428078222067
2018-03-18,28018.416666666668,26290.983920066596
2018-03-19,30023.958333333332,29492.6925794575
2018-03-20,33334.666666666664,29932.82031840273
2018-03-21,33738.166666666664,29939.6282591317
2018-03-22,31931.416666666668,29818.99692324668
2018-03-23,30775.958333333332,29342.658341987673
2018-03-24,28216.291666666668,26868.08569170376
2018-03-25,28642.375,26026.884201354023
2018-03-26,30686.708333333332,29038.880363398675
2018-03-27,31483.0,29277.983488417547
2018-03-28,30032.833333333332,29093.838692659567
2018-03-29,27923.291666666668,28812.173776646967
2018-03-30,26191.0,28220.749823145383
2018-03-31,25214.041666666668,25687.87789751814
2018-04-01,24265.0,24848.686454844395
2018-04-02,29014.208333333332,27920.229458518184
2018-04-03,30574.458333333332,28269.21034988114
2018-04-04,28911.083333333332,28231.528283725278
2018-04-05,30203.833333333332,28116.255591808527
2018-04-06,29153.833333333332,27693.241510073647
2018-04-07,26862.5,25313.791333435183
2018-04-08,27447.0,24597.57544901974
2018-04-09,30637.5,27750.47414753682
2018-04-10,29610.291666666668,28134.67935145968
2018-04-11,29411.5,28085.427796435222
2018-04-12,27810.958333333332,27916.796388661194
2018-04-13,26463.541666666668,27408.2734104638
2018-04-14,24966.958333333332,24924.36412324776
2018-04-15,25127.0,24098.728673008794
2018-04-16,28658.625,27151.55583104806
2018-04-17,29924.833333333332,27459.3869069855
2018-04-18,28888.958333333332,27367.2074747274
2018-04-19,28949.958333333332,27195.233574780872
2018-04-20,28522.791666666668,26724.68158181486
2018-04-21,25499.166666666668,24317.52640577329
2018-04-22,23878.875,23599.9167487578
2018-04-23,26121.125,26781.689411660438
2018-04-24,26505.166666666668,27228.776474518232
2018-04-25,26959.958333333332,27273.435117903937
2018-04-26,25847.041666666668,27224.412613292658
2018-04-27,26166.875,26853.65668521985
2018-04-28,23777.708333333332,24517.150392953714
2018-04-29,23541.916666666668,23837.639264088146
2018-04-30,26895.333333333332,27025.46411961263
2018-05-01,26626.916666666668,27452.0033702045
2018-05-02,28349.666666666668,27455.976225287035
2018-05-03,32229.541666666668,27354.66676014409
2018-05-04,32975.291666666664,26929.281257320392
2018-05-05,26163.125,24544.859575948245
2018-05-06,23796.083333333332,23830.82925760803
2018-05-07,26640.541666666668,27002.339203350657
2018-05-08,27005.75,27434.652748579407
2018-05-09,27441.708333333332,27466.148323390775
2018-05-10,27695.833333333332,27411.82499665802
2018-05-11,27865.333333333332,27048.948306853665
2018-05-12,25662.083333333332,24737.87428436567
2018-05-13,24001.5,24102.22051636896
2018-05-14,27317.833333333332,27352.217457533527
2018-05-15,31481.666666666668,27861.11049753689
2018-05-16,29049.833333333332,27965.336199754674
2018-05-17,28035.208333333332,27980.163595816048
2018-05-18,27227.833333333332,27684.89697732208
2018-05-19,24720.291666666668,25443.408972557274
2018-05-20,27146.333333333332,24882.42684667149
2018-05-21,29615.458333333332,28215.312961768792
2018-05-22,28450.0,28819.022105947715
2018-05-23,29923.125,29030.337645575455
2018-05-24,30461.5,29163.030125497484
2018-05-25,31925.541666666668,28992.590408441913
2018-05-26,33316.916666666664,26877.054760825875
2018-05-27,28984.208333333332,26434.536992156067
2018-05-28,25457.458333333332,27571.216218570076
2018-05-29,32802.083333333336,30549.443630007652
2018-05-30,32784.833333333336,30804.146509008784
2018-05-31,31445.0,30940.692854909936
2018-06-01,34767.416666666664,30731.42030006009
2018-06-02,33292.125,28535.014917994155
2018-06-03,26070.291666666668,27973.098261876577
2018-06-04,27152.75,31257.06736735804
2018-06-05,28280.958333333332,31768.188514943897
2018-06-06,27839.0,31847.50747862139
2018-06-07,28615.708333333332,31816.877443201764
2018-06-08,30924.625,31462.701437950804
2018-06-09,30465.583333333332,29156.342283253445
2018-06-10,27027.458333333332,28528.253779080726
2018-06-11,27287.958333333332,31795.061149822417
2018-06-12,27915.083333333332,32340.400953316286
2018-06-13,31366.75,32501.41688373387
2018-06-14,33066.708333333336,32592.08518467463
2018-06-15,30615.041666666668,32387.4171585333
2018-06-16,29337.041666666668,30245.123705045025
2018-06-17,32630.0,29779.873532314923
2018-06-18,39504.041666666664,33193.04788770579
2018-06-19,40480.583333333336,33856.35184176489
2018-06-20,35744.583333333336,34096.296042467366
2018-06-21,35393.166666666664,34220.44637209163
2018-06-22,31334.333333333332,34001.87465516094
2018-06-23,27684.875,31801.053159135576
2018-06-24,31802.708333333332,31238.515980902437
2018-06-25,33504.125,34525.05320780174
2018-06-26,31780.416666666668,35045.589336185585
2018-06-27,31319.75,35139.14530944912
2018-06-28,36902.333333333336,35125.769817948705
2018-06-29,38752.583333333336,34789.490582131504
2018-06-30,38253.916666666664,32499.360344776986
2018-07-01,39791.125,31880.21017354221
2018-07-02,42294.875,35143.751355813125
2018-07-03,43149.916666666664,35673.895637273396
2018-07-04,39646.875,32968.75354371326
2018-07-05,41321.916666666664,35846.21135130916
2018-07-06,39145.25,35575.816000495695
2018-07-07,28926.5,33352.79540863377
2018-07-08,28616.791666666668,32792.727994379435
2018-07-09,34410.166666666664,36099.902087186
2018-07-10,38316.041666666664,36654.61064241634
2018-07-11,39626.333333333336,36787.397273477254
2018-07-12,36770.458333333336,36810.7488476724
2018-07-13,36047.166666666664,36502.158706828115
2018-07-14,34942.666666666664,34225.98232822425
2018-07-15,34204.083333333336,33602.039008806765
2018-07-16,40389.916666666664,36839.21661287601
2018-07-17,40802.875,37323.365497333216
2018-07-18,36402.458333333336,37387.68369008718
2018-07-19,34624.541666666664,37346.016097926164
2018-07-20,34887.708333333336,36975.51741784963
2018-07-21,29329.75,34638.81914523583
2018-07-22,31062.25,33951.821292786124
2018-07-23,37556.375,37119.12322182688
2018-07-24,38382.875,37523.997502016275
2018-07-25,37062.166666666664,37496.27374800359
2018-07-26,38115.666666666664,37348.30218663933
2018-07-27,38191.5,36857.83069182072
2018-07-28,34495.75,34390.56905939388
2018-07-29,32162.916666666668,33566.70976659896
2018-07-30,32957.416666666664,36597.22770484547
2018-07-31,34539.083333333336,36874.59442185929
2018-08-01,39088.541666666664,36736.60194331927
2018-08-02,39593.041666666664,36503.40594904808
2018-08-03,35486.0,35959.205675658595
